location,lat,lon
"Epic Roasthouse (399 Embarcadero) San Francisco San Francisco",37.790515,-122.389085
"Mason & California Streets (Nob Hill) San Francisco",37.791549,-122.410794
"Justin Herman Plaza San Francisco",37.77493,-122.419416
"200 block Market Street San Francisco",37.793132,-122.396561
"City Hall San Francisco",37.77493,-122.419416
"Polk & Larkin Streets San Francisco",37.777498,-122.416325
"Randall Museum San Francisco",37.77493,-122.419416
"555 Market St. San Francisco",37.789999,-122.399909
"Rainforest Café (145 Jefferson Street) San Francisco",37.808071,-122.414611
"20th and Folsom Streets San Francisco",37.758911,-122.41472
"Golden Gate Park San Francisco",37.76904,-122.483519
"Embarcadero Freeway San Francisco",37.74894,-122.392848
"Fairmont Hotel (950 Mason Street, Nob Hill) San Francisco",37.792496,-122.410035
"San Francisco Chronicle (901 Mission Street at 15th Street) San Francisco",37.76668,-122.419854
"Broadway (North Beach) San Francisco",37.798439,-122.402248
"75 California Street San Francisco",37.793549,-122.397332
"Grace Cathedral Episcopal Church (1100 California Street) San Francisco",37.791835,-122.413343
"Hills Brothers Plaza (Embarcadero at Harrison Street) San Francisco",37.772843,-122.409708
"San Francisco International Airport San Francisco",37.621313,-122.378955
"City Hall San Francisco",37.77493,-122.419416
"Port of San Francisco  San Francisco",37.796837,-122.395077
"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin) San Francisco",37.779367,-122.393413
"Golden Gate Bridge San Francisco",37.819048,-122.478393
"20th St and Church (3885 20th St) San Francisco",37.757942,-122.427564
"Embarcadero Freeway San Francisco",37.74894,-122.392848
"Potrero Hill San Francisco",37.760493,-122.400869
"City Hall San Francisco",37.77493,-122.419416
"Chinatown San Francisco",37.794138,-122.407791
"Burger Island (901 3rd Street, China Basin) San Francisco",37.777359,-122.390851
"Van Ness Avenue San Francisco",37.791305,-122.422612
"Taylor and Jefferson Streets (Fisherman's Wharf) San Francisco",37.808221,-122.415808
"Broderick from Fulton to McAlister San Francisco",37.77493,-122.419416
"Crissy Field San Francisco",37.803907,-122.464062
"Powell from Bush and Sutter San Francisco",37.77493,-122.419416
"Pier 50- end of the pier San Francisco",37.805443,-122.401136
"California @ Montgomery San Francisco",37.792865,-122.40279
"Montgomery/Green San Francisco",37.800247,-122.459034
"Driving various SF Streets San Francisco",37.77493,-122.419416
"Plate Shots SF streets various San Francisco",37.77493,-122.419416
"Coit Tower San Francisco",37.802395,-122.405822
"Filbert St. from Jones to Mason San Francisco",37.77493,-122.419416
"Leavenworth from Filbert & Francisco St San Francisco",37.77493,-122.419416
"Chestnut St. from Larkin to Columbus San Francisco",37.77493,-122.419416
"Francisco St from Larkin to Polk San Francisco",37.77493,-122.419416
"Broadway from Mason to Taylor San Francisco",37.77493,-122.419416
"Taylor St. from Broadway to Filbert San Francisco",37.801967,-122.404661
"Cliff House (1090 Point Lobos Avenue) San Francisco",37.778567,-122.513965
"San Francisco Bay San Francisco",37.80396,-122.426785
